Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB),RTT
74,1.46,1.46,0,181.37,104.1
75,1.74,1.74,0,186.79,103.07
76,1.56,1.56,2,155.65,102.71
77,1.48,1.48,0,175.96,106.37
78,1.45,1.45,1,136.71,102.8
79,1.17,1.17,0,147.53,105.76
80,1.43,1.43,0,151.59,103.02
81,1.46,1.46,0,151.59,105.69
82,1.45,1.45,0,155.65,103.43
83,1.45,1.45,0,162.42,104.11
84,1.2,1.2,1,132.64,108.55
85,1.44,1.44,0,151.59,107.09
86,1.16,1.16,2,119.11,108.99
87,1.17,1.17,0,127.23,102.93
88,1.16,1.16,0,129.94,106.08
89,1.16,1.16,0,131.29,106.73
90,1.16,1.16,0,138.06,104.26
91,1.44,1.44,0,144.83,106.87
92,1.48,1.48,0,151.59,110.65
93,1.44,1.44,0,170.54,104.32
94,1.15,1.15,2,143.47,104.61
95,1.47,1.47,0,159.71,103.03
96,1.45,1.45,0,169.19,107.05
97,1.74,1.74,0,170.54,104.67
98,1.19,1.19,1,127.23,105.25
99,1.45,1.45,0,151.59,103.49
100,1.17,1.17,1,116.4,103.73
101,1.17,1.17,0,129.94,108.51
102,1.45,1.45,0,134.0,106.52
103,1.21,1.21,0,134.0,104.57
104,1.16,1.16,0,138.06,103.19
105,1.44,1.44,0,144.83,102.87
106,1.15,1.15,0,151.59,103.3
107,1.45,1.45,1,142.12,105.46
108,1.19,1.19,0,138.06,103.19
109,1.48,1.48,0,152.95,102.58
110,1.16,1.16,2,119.11,103.96
111,1.17,1.17,0,128.58,102.58
112,1.16,1.16,0,129.94,106.45
113,1.16,1.16,0,131.29,104.47
114,1.44,1.44,0,138.06,102.98
115,1.15,1.15,0,146.18,103.15
116,1.45,1.45,0,152.95,106.14
117,1.45,1.45,0,171.9,104.25
118,1.53,1.53,2,144.83,105.22
119,1.46,1.46,0,167.84,103.81
120,1.15,1.15,1,131.29,102.49
121,1.44,1.44,0,142.12,103.37
122,1.46,1.46,0,143.47,102.59
123,1.16,1.16,0,143.47,103.61
124,1.48,1.48,0,150.24,105.6
125,1.49,1.49,0,157.01,107.25
126,1.47,1.47,0,163.78,105.33
127,1.45,1.45,0,182.72,109.08
128,1.44,1.44,5,152.95,103.98
129,1.44,1.44,5,155.65,104.66
130,1.45,1.45,3,135.35,106.19
131,1.17,1.17,0,144.83,105.86
132,1.47,1.47,0,147.53,104.23
133,1.43,1.43,0,147.53,103.28
134,1.46,1.46,0,154.3,104.73
135,1.45,1.45,0,161.07,103.33
136,1.46,1.46,0,167.84,103.2
137,1.45,1.45,2,134.0,104.43
138,1.17,1.17,0,157.01,103.96
139,1.23,1.23,2,123.17,103.24
140,1.49,1.49,0,134.0,104.56
141,1.16,1.16,0,136.71,103.74
142,1.17,1.17,0,136.71,103.11
143,1.45,1.45,0,143.47,105.19
144,1.16,1.16,0,150.24,106.21
145,1.47,1.47,0,157.01,104.15
146,1.47,1.47,5,119.11,105.98
147,1.18,1.18,0,144.83,105.82
148,1.44,1.44,0,161.07,107.41
149,1.73,1.73,0,169.19,103.16
150,1.44,1.44,0,170.54,103.59
151,1.74,1.74,0,170.54,103.28
152,1.46,1.46,0,171.9,106.36
153,1.74,1.74,0,177.31,106.38
154,1.48,1.47,0,190.85,104.66
155,1.54,1.54,2,157.01,102.74
156,1.73,1.73,0,178.66,107.47
157,1.73,1.73,0,192.2,104.55
158,1.19,1.19,2,150.24,103.58
159,1.48,1.48,0,159.71,103.0
160,1.44,1.44,0,162.42,105.78
161,1.74,1.75,0,162.42,103.49
162,1.51,1.51,0,166.48,105.31
163,1.45,1.45,0,173.25,103.04
164,1.46,1.46,2,134.0,106.48
165,1.45,1.45,0,157.01,107.97
166,0.87,0.87,1,123.17,102.86
167,1.44,1.44,0,131.29,107.27
168,1.18,1.18,0,132.64,104.83
169,1.16,1.16,0,135.35,102.63
170,1.44,1.44,0,142.12,102.92
171,1.45,1.45,0,148.89,102.56
172,1.17,1.17,0,155.65,105.49
173,1.75,1.75,0,178.66,104.89
174,1.16,1.16,3,151.59,105.48
175,1.16,1.16,3,119.11,103.8
176,1.18,1.18,0,131.29,103.11
177,1.44,1.44,0,134.0,104.96
178,1.17,1.17,0,134.0,105.15
179,1.15,1.15,0,139.41,102.62
180,1.45,1.45,0,146.18,103.67
181,1.43,1.43,0,154.3,105.24
182,1.46,1.46,0,169.19,102.43
183,1.21,1.21,3,142.12,104.05
184,1.44,1.44,0,158.36,102.38
